,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
0,7.0,2.0,5.0,3.0,4.0,11.0,31.0,13.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,91.0,54.0,-4.0
1,6.0,1.0,5.0,3.0,3.0,8.0,47.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,145.0,49.0,-2.0
2,4.0,2.0,5.0,3.0,4.0,12.0,26.0,17.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,504.0,240.0,-1.0
3,17.0,1.0,4.0,3.0,3.0,22.0,33.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,57.0,43.0,4.0
4,15.0,1.0,4.0,3.0,3.0,18.0,37.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,28.0,8.0,0.0
5,11.0,1.0,4.0,3.0,3.0,1.0,54.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,85.0,95.0,-7.0
6,10.0,1.0,4.0,3.0,3.0,37.0,18.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,73.0,52.0,3.0
7,3.0,2.0,4.0,3.0,5.0,12.0,26.0,17.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,504.0,264.0,0.0
9,5.0,1.0,4.0,3.0,3.0,13.0,42.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,417.0,92.0,-1.0
10,13.0,1.0,3.0,4.0,4.0,40.0,15.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,85.0,37.0,4.0
11,9.0,1.0,5.0,4.0,4.0,18.0,37.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,91.0,37.0,-3.0
13,1.0,1.0,4.0,3.0,3.0,26.0,29.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,739.0,413.0,0.0
14,8.0,2.0,5.0,3.0,4.0,12.0,29.0,14.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,145.0,96.0,-2.0
16,20.0,1.0,4.0,3.0,3.0,29.0,26.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,739.0,326.0,16.0
17,19.0,1.0,3.0,4.0,4.0,24.0,31.0,0.0,0.0,79.77,0.55,10.7,21.0,55.0,5.554,1.0,1.0,0.0
19,8.0,1.0,4.0,2.0,2.0,15.0,43.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,145.0,49.0,-4.0
20,3.0,1.0,4.0,3.0,3.0,14.0,44.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,504.0,240.0,-1.0
21,9.0,1.0,4.0,3.0,3.0,12.0,46.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,57.0,43.0,1.0
22,17.0,1.0,3.0,4.0,4.0,37.0,21.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,417.0,95.0,6.0
23,10.0,1.0,4.0,2.0,2.0,13.0,45.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,73.0,52.0,-3.0
25,16.0,1.0,3.0,2.0,2.0,27.0,31.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,73.0,21.0,7.0
26,7.0,1.0,4.0,3.0,3.0,14.0,44.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,0.0,20.0,1.0
27,13.0,1.0,4.0,3.0,3.0,14.0,44.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,85.0,92.0,-1.0
28,15.0,1.0,3.0,2.0,2.0,26.0,32.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,85.0,37.0,5.0
29,11.0,1.0,4.0,2.0,2.0,13.0,45.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,91.0,37.0,4.0
30,4.0,1.0,4.0,3.0,3.0,25.0,33.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,417.0,278.0,1.0
31,1.0,1.0,4.0,3.0,3.0,15.0,43.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,739.0,413.0,-1.0
32,19.0,2.0,3.0,4.0,2.0,26.0,16.0,16.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,1.0,0.0,3.0
34,20.0,3.0,2.0,3.0,4.0,1.0,27.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,1.0,1.0,3.0
35,14.0,1.0,3.0,4.0,4.0,27.0,31.0,0.0,0.0,78.61,0.47,2.6,16.0,58.0,5.303,57.0,14.0,-1.0
36,12.0,1.0,3.0,4.0,4.0,46.0,25.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,91.0,54.0,0.0
37,5.0,1.0,4.0,3.0,3.0,25.0,46.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,145.0,49.0,-1.0
38,9.0,2.0,4.0,2.0,4.0,21.0,29.0,21.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,504.0,240.0,5.0
39,6.0,1.0,4.0,2.0,2.0,23.0,48.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,57.0,43.0,-3.0
40,11.0,1.0,3.0,2.0,2.0,34.0,37.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,0.0,8.0,-5.0
41,8.0,1.0,4.0,2.0,2.0,25.0,46.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,417.0,95.0,1.0
42,13.0,1.0,3.0,2.0,2.0,28.0,43.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,73.0,52.0,2.0
43,1.0,1.0,4.0,2.0,2.0,22.0,49.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,504.0,264.0,-1.0
45,10.0,3.0,4.0,2.0,2.0,11.0,2.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,0.0,20.0,-9.0
46,18.0,1.0,3.0,2.0,2.0,35.0,36.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,85.0,92.0,3.0
49,2.0,1.0,3.0,2.0,2.0,31.0,40.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,417.0,278.0,1.0
50,4.0,1.0,3.0,2.0,2.0,30.0,41.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,739.0,413.0,-1.0
51,19.0,1.0,3.0,2.0,2.0,41.0,30.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,145.0,96.0,11.0
52,20.0,1.0,3.0,2.0,2.0,27.0,44.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,1.0,0.0,2.0
54,17.0,1.0,3.0,2.0,2.0,19.0,52.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,1.0,1.0,-3.0
55,7.0,1.0,4.0,2.0,2.0,24.0,47.0,0.0,0.0,91.72,0.19,63.5,8.0,71.0,4.318,57.0,14.0,-3.0
56,7.0,2.0,4.0,3.0,4.0,9.0,30.0,12.0,1.0,69.98,0.44,26.8,20.0,51.0,6.003,145.0,49.0,-1.0
57,3.0,1.0,4.0,3.0,3.0,11.0,40.0,0.0,0.0,69.98,0.44,26.8,20.0,51.0,6.003,504.0,240.0,0.0
