,initial_pos,sc_lap,sc_decision,sc_laps_travelled,sc_laps_remaining,sc_tyre_compound,before_pit_pos,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
0,11.0,10.0,0.0,29.0,46.0,3.0,10.0,73.93,0.6,10.7,21.0,55.0,5.554,181.0,119.0,4.0
1,4.0,10.0,1.0,10.0,46.0,5.0,5.0,73.93,0.6,10.7,21.0,55.0,5.554,202.0,97.0,-1.0
2,13.0,10.0,0.0,25.0,46.0,3.0,11.0,73.93,0.6,10.7,21.0,55.0,5.554,131.0,33.0,-1.0
3,18.0,10.0,1.0,1.0,46.0,4.0,19.0,73.93,0.6,10.7,21.0,55.0,5.554,0.0,0.0,1.0
4,15.0,10.0,1.0,10.0,46.0,4.0,14.0,73.93,0.6,10.7,21.0,55.0,5.554,8.0,4.0,3.0
5,9.0,10.0,1.0,10.0,46.0,5.0,8.0,73.93,0.6,10.7,21.0,55.0,5.554,107.0,75.0,1.0
6,12.0,10.0,0.0,12.0,46.0,4.0,13.0,73.93,0.6,10.7,21.0,55.0,5.554,131.0,98.0,-1.0
7,8.0,10.0,1.0,10.0,46.0,5.0,7.0,73.93,0.6,10.7,21.0,55.0,5.554,195.0,75.0,-2.0
8,20.0,10.0,0.0,21.0,46.0,3.0,17.0,73.93,0.6,10.7,21.0,55.0,5.554,3.0,1.0,2.0
9,5.0,10.0,1.0,10.0,46.0,5.0,4.0,73.93,0.6,10.7,21.0,55.0,5.554,319.0,105.0,1.0
10,7.0,10.0,1.0,10.0,46.0,5.0,9.0,73.93,0.6,10.7,21.0,55.0,5.554,107.0,32.0,-4.0
11,10.0,10.0,1.0,10.0,46.0,4.0,12.0,73.93,0.6,10.7,21.0,55.0,5.554,181.0,0.0,1.0
12,1.0,10.0,1.0,10.0,46.0,4.0,1.0,73.93,0.6,10.7,21.0,55.0,5.554,319.0,214.0,0.0
13,3.0,10.0,1.0,10.0,46.0,4.0,3.0,73.93,0.6,10.7,21.0,55.0,5.554,573.0,347.0,0.0
14,6.0,10.0,1.0,10.0,46.0,4.0,6.0,73.93,0.6,10.7,21.0,55.0,5.554,202.0,105.0,0.0
15,16.0,10.0,1.0,10.0,46.0,4.0,16.0,73.93,0.6,10.7,21.0,55.0,5.554,0.0,3.0,1.0
16,2.0,10.0,1.0,10.0,46.0,4.0,2.0,73.93,0.6,10.7,21.0,55.0,5.554,573.0,223.0,0.0
17,14.0,10.0,0.0,17.0,46.0,4.0,15.0,73.93,0.6,10.7,21.0,55.0,5.554,8.0,4.0,-2.0
18,3.0,26.0,1.0,26.0,45.0,4.0,4.0,82.37,0.39,63.5,8.0,71.0,4.318,202.0,97.0,0.0
19,11.0,26.0,1.0,26.0,45.0,3.0,8.0,82.37,0.39,63.5,8.0,71.0,4.318,131.0,33.0,1.0
20,20.0,26.0,1.0,26.0,45.0,3.0,14.0,82.37,0.39,63.5,8.0,71.0,4.318,0.0,0.0,9.0
21,12.0,26.0,1.0,26.0,45.0,3.0,9.0,82.37,0.39,63.5,8.0,71.0,4.318,107.0,75.0,5.0
22,6.0,26.0,1.0,26.0,45.0,4.0,5.0,82.37,0.39,63.5,8.0,71.0,4.318,195.0,125.0,0.0
23,7.0,26.0,1.0,26.0,45.0,4.0,6.0,82.37,0.39,63.5,8.0,71.0,4.318,131.0,98.0,5.0
24,4.0,26.0,1.0,26.0,45.0,4.0,3.0,82.37,0.39,63.5,8.0,71.0,4.318,319.0,105.0,-9.0
25,13.0,26.0,1.0,26.0,45.0,3.0,10.0,82.37,0.39,63.5,8.0,71.0,4.318,107.0,32.0,1.0
26,14.0,26.0,1.0,26.0,45.0,3.0,11.0,82.37,0.39,63.5,8.0,71.0,4.318,181.0,0.0,6.0
27,5.0,26.0,1.0,26.0,45.0,4.0,2.0,82.37,0.39,63.5,8.0,71.0,4.318,573.0,347.0,1.0
28,8.0,26.0,1.0,26.0,45.0,4.0,7.0,82.37,0.39,63.5,8.0,71.0,4.318,202.0,105.0,3.0
29,1.0,26.0,1.0,26.0,45.0,4.0,1.0,82.37,0.39,63.5,8.0,71.0,4.318,573.0,223.0,0.0
30,18.0,26.0,0.0,1.0,45.0,2.0,12.0,82.37,0.39,63.5,8.0,71.0,4.318,8.0,4.0,9.0
31,3.0,51.0,1.0,25.0,20.0,2.0,5.0,82.37,0.39,63.5,8.0,71.0,4.318,202.0,97.0,0.0
32,11.0,51.0,1.0,25.0,20.0,2.0,13.0,82.37,0.39,63.5,8.0,71.0,4.318,131.0,33.0,1.0
33,20.0,51.0,1.0,25.0,20.0,2.0,14.0,82.37,0.39,63.5,8.0,71.0,4.318,0.0,0.0,9.0
34,12.0,51.0,1.0,25.0,20.0,2.0,8.0,82.37,0.39,63.5,8.0,71.0,4.318,107.0,75.0,5.0
